CN 2022,SupText,URI,Name
02031959,"Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)",020319590080,0203 19 59 ----- Other
02031990,"Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in)",020319900080,0203 19 90 --- Other
020321,Frozen carcases and half-carcases of swine,020321000080,0203 21 -- Carcases and half-carcases
02032110,Frozen domestic swine carcases and half-carcases,020321100080,0203 21 10 --- Of domestic swine
02032190,Frozen non-domestic swine carcases and half-carcases,020321900080,0203 21 90 --- Other
020322,"Frozen hams, shoulders and cuts thereof of swine, with bone in",020322000080,"0203 22 -- Hams, shoulders and cuts thereof, with bone in"
02032211,"Frozen hams and cuts thereof of domestic swine, with bone in",020322110080,0203 22 11 ---- Hams and cuts thereof
02032219,"Frozen shoulders and cuts thereof of domestic swine, with bone in",020322190080,0203 22 19 ---- Shoulders and cuts thereof
02032290,"Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in",020322900080,0203 22 90 --- Other
020329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",020329000080,0203 29 -- Other
02032911,Frozen fore-ends and cuts thereof of domestic swine,020329110080,0203 29 11 ---- Fore-ends and cuts thereof
02032913,"Frozen loins and cuts thereof of domestic swine, with bone in",020329130080,"0203 29 13 ---- Loins and cuts thereof, with bone in"
02032915,"Frozen bellies ""streaky"" and cuts thereof of domestic swine",020329150080,0203 29 15 ---- Bellies (streaky) and cuts thereof
02032955,Frozen boneless meat of domestic swine (excl. bellies and cuts thereof),020329550080,0203 29 55 ----- Boneless
02032959,"Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)",020329590080,0203 29 59 ----- Other
02032990,"Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof, with bone in)",020329900080,0203 29 90 --- Other
