"NACE Rev. 2 Code","Level","Superior"
"A",1,NA
"B",1,NA
"C",1,NA
"D",1,NA
"E",1,NA
"F",1,NA
"G",1,NA
"H",1,NA
"I",1,NA
"J",1,NA
"K",1,NA
"L",1,NA
"M",1,NA
"N",1,NA
"O",1,NA
"P",1,NA
"Q",1,NA
"R",1,NA
"S",1,NA
"T",1,NA
"U",1,NA
"49.31",4,"49.3"
"49.32",4,"49.3"
"49.39",4,"49.3"
"49.41",4,"49.4"
"49.42",4,"49.4"
"49.50",4,"49.5"
"50.10",4,"50.1"
"50.20",4,"50.2"
"50.30",4,"50.3"
"50.40",4,"50.4"
"51.10",4,"51.1"
"51.21",4,"51.2"
"51.22",4,"51.2"
"52.10",4,"52.1"
"52.21",4,"52.2"
"52.22",4,"52.2"
"52.23",4,"52.2"
"52.24",4,"52.2"
"52.29",4,"52.2"
"53.10",4,"53.1"
"53.20",4,"53.2"
"55.10",4,"55.1"
"55.20",4,"55.2"
"55.30",4,"55.3"
"55.90",4,"55.9"
"56.10",4,"56.1"
"56.21",4,"56.2"
"56.29",4,"56.2"
"56.30",4,"56.3"
"58.11",4,"58.1"
"58.12",4,"58.1"
"58.13",4,"58.1"
"58.14",4,"58.1"
"58.19",4,"58.1"
"58.21",4,"58.2"
"58.29",4,"58.2"
"59.11",4,"59.1"
"59.12",4,"59.1"
"59.13",4,"59.1"
"59.14",4,"59.1"
"59.20",4,"59.2"
"60.10",4,"60.1"
"60.20",4,"60.2"
"61.10",4,"61.1"
"61.20",4,"61.2"
"61.30",4,"61.3"
"61.90",4,"61.9"
"62.01",4,"62.0"
"62.02",4,"62.0"
"62.03",4,"62.0"
"62.09",4,"62.0"
"63.11",4,"63.1"
"63.12",4,"63.1"
"63.91",4,"63.9"
"63.99",4,"63.9"
"64.11",4,"64.1"
"64.19",4,"64.1"
"64.20",4,"64.2"
"64.30",4,"64.3"
"64.91",4,"64.9"
"64.92",4,"64.9"
"64.99",4,"64.9"
"65.11",4,"65.1"
"65.12",4,"65.1"
"65.20",4,"65.2"
"65.30",4,"65.3"
"66.11",4,"66.1"
"66.12",4,"66.1"
"66.19",4,"66.1"
"66.21",4,"66.2"
"66.22",4,"66.2"
"66.29",4,"66.2"
"66.30",4,"66.3"
"68.10",4,"68.1"
"68.20",4,"68.2"
"68.31",4,"68.3"
"68.32",4,"68.3"
"69.10",4,"69.1"
"69.20",4,"69.2"
"70.10",4,"70.1"
"70.21",4,"70.2"
"70.22",4,"70.2"
"71.11",4,"71.1"
"71.12",4,"71.1"
"71.20",4,"71.2"
"72.11",4,"72.1"
"72.19",4,"72.1"
"72.20",4,"72.2"
"73.11",4,"73.1"
"73.12",4,"73.1"
"73.20",4,"73.2"
"74.10",4,"74.1"
"74.20",4,"74.2"
"74.30",4,"74.3"
"74.90",4,"74.9"
"75.00",4,"75.0"
"77.11",4,"77.1"
"77.12",4,"77.1"
"77.21",4,"77.2"
"77.22",4,"77.2"
"77.29",4,"77.2"
"77.31",4,"77.3"
