SITC4,CN2022,START,END
66336,68151300,01/01/2022,31/12/2500
66336,68151900,01/01/2022,31/12/2500
66338,68159100,01/01/2022,31/12/2500
66339,68159900,01/01/2022,31/12/2500
66411,70010010,01/01/2022,31/12/2500
65195,70191300,01/01/2022,31/12/2500
66495,70191400,01/01/2022,31/12/2500
66495,70191500,01/01/2022,31/12/2500
65195,70191900,01/01/2022,31/12/2500
65460,70196100,01/01/2022,31/12/2500
66495,70196200,01/01/2022,31/12/2500
65460,70196300,01/01/2022,31/12/2500
65460,70196400,01/01/2022,31/12/2500
65460,70196500,01/01/2022,31/12/2500
65460,70196600,01/01/2022,31/12/2500
66495,70196910,01/01/2022,31/12/2500
66495,70196990,01/01/2022,31/12/2500
66495,70197100,01/01/2022,31/12/2500
66495,70197200,01/01/2022,31/12/2500
66495,70197300,01/01/2022,31/12/2500
66495,70198010,01/01/2022,31/12/2500
66495,70198090,01/01/2022,31/12/2500
66495,70199000,01/01/2022,31/12/2500
66742,71042100,01/01/2022,31/12/2500
66742,71042900,01/01/2022,31/12/2500
66749,71049100,01/01/2022,31/12/2500
66749,71049900,01/01/2022,31/12/2500
97103,71129100,01/01/2022,31/12/2500
28921,71129200,01/01/2022,31/12/2500
28929,71129900,01/01/2022,31/12/2500
93100,71III000,01/01/2022,31/12/2500
67914,73043950,01/01/2022,31/12/2500
67914,73043982,01/01/2022,31/12/2500
67914,73043983,01/01/2022,31/12/2500
67914,73043988,01/01/2022,31/12/2500
67915,73044983,01/01/2022,31/12/2500
67915,73044985,01/01/2022,31/12/2500
67915,73044989,01/01/2022,31/12/2500
67916,73045110,01/01/2022,31/12/2500
67916,73045930,01/01/2022,31/12/2500
67916,73045982,01/01/2022,31/12/2500
67916,73045983,01/01/2022,31/12/2500
67916,73045989,01/01/2022,31/12/2500
67941,73061100,01/01/2022,31/12/2500
67941,73061900,01/01/2022,31/12/2500
67943,73063012,01/01/2022,31/12/2500
67943,73063018,01/01/2022,31/12/2500
67943,73065021,01/01/2022,31/12/2500
67943,73065029,01/01/2022,31/12/2500
69973,74192000,01/01/2022,31/12/2500
69973,74198010,01/01/2022,31/12/2500
69973,74198030,01/01/2022,31/12/2500
69973,74198090,01/01/2022,31/12/2500
93100,74III000,01/01/2022,31/12/2500
93100,75III000,01/01/2022,31/12/2500
68423,76061130,01/01/2022,31/12/2500
68423,76061150,01/01/2022,31/12/2500
68423,76061191,01/01/2022,31/12/2500
68423,76061193,01/01/2022,31/12/2500
68423,76061199,01/01/2022,31/12/2500
68423,76061230,01/01/2022,31/12/2500
68423,76061250,01/01/2022,31/12/2500
68423,76061292,01/01/2022,31/12/2500
68423,76061293,01/01/2022,31/12/2500
68423,76061299,01/01/2022,31/12/2500
68424,76072091,01/01/2022,31/12/2500
68424,76072099,01/01/2022,31/12/2500
93100,78III000,01/01/2022,31/12/2500
93100,79III000,01/01/2022,31/12/2500
93100,80III000,01/01/2022,31/12/2500
69993,81039100,01/01/2022,31/12/2500
69993,81039910,01/01/2022,31/12/2500
69993,81039990,01/01/2022,31/12/2500
68992,81061010,01/01/2022,31/12/2500
68992,81061090,01/01/2022,31/12/2500
68992,81069010,01/01/2022,31/12/2500
68992,81069090,01/01/2022,31/12/2500
68984,81092100,01/01/2022,31/12/2500
68984,81092900,01/01/2022,31/12/2500
68984,81093100,01/01/2022,31/12/2500
68984,81093900,01/01/2022,31/12/2500
69987,81099100,01/01/2022,31/12/2500
69987,81099900,01/01/2022,31/12/2500
68998,81123100,01/01/2022,31/12/2500
69999,81123900,01/01/2022,31/12/2500
68998,81124110,01/01/2022,31/12/2500
68998,81124190,01/01/2022,31/12/2500
69999,81124900,01/01/2022,31/12/2500
68982,81126100,01/01/2022,31/12/2500
68982,81126910,01/01/2022,31/12/2500
69983,81126990,01/01/2022,31/12/2500
68998,81129221,01/01/2022,31/12/2500
68998,81129240,01/01/2022,31/12/2500
69999,81129940,01/01/2022,31/12/2500
69999,81129950,01/01/2022,31/12/2500
689SS,8112S689,01/01/2022,31/12/2500
999SS,8112S999,01/01/2022,31/12/2500
